DATE CREATED
2020-11-25T05:33:28+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
MEA2173 SDI-12 Smart Temperature Sensor 9

UOM DEFINITIONS
Degrees Celsius

STATION
Cleveland Bay
LATITUDE
-19.13866
LONGITUDE
146.899

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL1_summer_15_16,wtemp_LEVEL1_summer_16_17,wtemp_LEVEL1_summer_17_18,wtemp_LEVEL1_summer_18_19,wtemp_LEVEL1_summer_19_20
01-NOV,6,27.619278125,26.8721,,27.7556,28.1074,25.86
02-NOV,6,27.669166319444443,26.9842,,27.8934,27.624,25.8448
03-NOV,6,27.684367013888888,27.2414,,28.1395,27.5086,26.0304
04-NOV,6,27.743352430555557,27.3513,,28.0885,27.854,26.1254
05-NOV,6,27.607406944444445,27.4632,,27.7189,27.9514,26.1055
06-NOV,6,27.621635069444444,27.7143,,27.6593,27.9604,26.408
07-NOV,7,27.662816346153846,27.9384,,27.9579,28.0124,26.5908
08-NOV,7,27.79781726190476,28.2574,,28.1228,28.0617,26.726
09-NOV,7,27.91054851190476,28.4464,,28.0524,28.061,26.8755
10-NOV,7,28.03714880952381,27.9919,,27.3707,27.8331,27.0187
11-NOV,7,28.127320833333332,27.8856,,26.711,27.6978,27.0762
12-NOV,7,28.21597470238095,27.855,,26.5365,27.4239,27.1663
13-NOV,7,28.279150447761193,28.0206,,26.3924,27.2216,27.3527
14-NOV,7,28.209352537313432,28.2751,,26.281,27.1138,27.3896
15-NOV,7,28.162680952380953,28.4099,,26.3068,27.1555,27.5129
16-NOV,7,28.102853273809522,28.6636,,26.4836,27.3995,27.6809
17-NOV,8,28.02038559322034,28.68,,26.5021,27.5532,27.7541
18-NOV,8,27.683760677083335,28.4859,,26.6367,27.6349,27.8778
19-NOV,8,27.575265364583334,28.2368,,26.7889,27.7212,28.0478
20-NOV,8,27.59328046875,28.0895,,26.9454,27.7168,28.1458
21-NOV,8,27.6867640625,27.9101,,26.772,27.7853,28.0178
22-NOV,8,27.814701302083332,28.1347,,26.5028,27.9451,27.6049
23-NOV,8,27.97440859375,28.2821,,26.3311,28.1442,27.5215
24-NOV,8,27.958855989583334,28.5721,,26.5302,28.4468,27.6414
25-NOV,8,27.921532552083335,28.7892,,26.7727,28.7279,27.6703
26-NOV,8,27.925380989583335,28.8598,,26.9383,28.9648,27.7185
27-NOV,8,27.92821354166667,29.0304,,27.096,28.8162,27.8733
28-NOV,8,27.950916145833332,29.1485,,27.1485,28.6275,28.0098
29-NOV,8,27.852160416666667,,,27.3768,28.9311,28.0375
30-NOV,8,27.838690885416668,,,27.6559,28.6415,27.9575
01-DEC,8,27.908164322916665,,,27.6172,29.1786,28.0792
02-DEC,8,28.054642708333333,,,27.8849,29.4762,28.2644
03-DEC,8,28.1740640625,,28.6814,28.1453,29.6411,28.2049
04-DEC,8,28.3385375,,29.0803,28.4016,29.4968,27.292
05-DEC,8,28.505536979166667,,29.1427,28.516,29.6645,27.8439
06-DEC,8,28.635270572916667,,29.1676,28.7212,28.7727,27.6219
07-DEC,9,28.604448395061727,,29.2619,28.6525,28.6486,26.9915
08-DEC,9,28.428586805555554,,29.5032,28.8714,28.3735,27.6673
09-DEC,9,28.553836342592593,,29.5876,29.0811,27.0338,28.1685
10-DEC,9,28.700659722222223,,29.6842,28.8314,26.8397,27.1696
11-DEC,9,28.763594212962964,,29.2679,28.7642,26.7255,27.4679
12-DEC,9,28.882732407407406,,29.0147,29.2726,27.0982,28.1184
13-DEC,9,28.936708796296298,,28.6834,28.9721,27.4146,28.1216
14-DEC,9,28.72702800925926,,28.5138,28.9848,27.3414,27.9764
15-DEC,9,28.585309722222224,,28.5117,28.9962,27.3992,28.4201
16-DEC,9,28.848799768518518,,28.6489,29.1497,27.2667,28.8451
17-DEC,9,28.794581944444445,,28.9165,29.0786,27.2939,27.7774
18-DEC,9,28.735757175925926,,29.191,28.7699,27.8252,28.2368
19-DEC,9,28.647927777777777,,29.3146,28.8397,28.1269,27.7356
20-DEC,9,28.91123287037037,,29.2937,28.9846,28.583,28.1833
21-DEC,9,28.82895925925926,,29.1736,29.1012,28.9395,27.9046
22-DEC,9,28.75527465116279,,29.3649,29.1419,29.1091,28.0625
23-DEC,9,28.615059953703703,,29.3188,29.1669,29.0355,28.0693
24-DEC,9,28.64517037037037,,29.2696,29.2549,28.6836,28.0838
25-DEC,9,28.733174537037037,,29.2891,29.5353,28.3096,28.3639
26-DEC,9,28.75650277777778,,29.3039,29.6117,27.9116,28.3857
27-DEC,9,28.88105787037037,,29.1609,29.6955,27.8307,28.3502
28-DEC,9,28.965821296296298,,29.1516,29.8359,27.7713,28.1714
29-DEC,9,29.011001157407406,,29.1501,29.8585,27.6115,28.0802
30-DEC,9,28.924977546296297,,29.2557,29.9802,27.555,27.8729
31-DEC,9,28.89825925925926,,29.4737,30.0314,27.4723,27.9279
01-JAN,8,28.59651607142857,,29.666,30.045,27.333,28.2699
02-JAN,7,28.621438392857144,,29.8593,30.0404,27.3187,28.5234
03-JAN,7,28.785289285714285,,29.9255,30.1564,27.3244,28.8568
04-JAN,7,28.873604166666667,,30.1791,30.1845,27.4029,28.653
05-JAN,7,28.96626488095238,,30.0336,29.9556,27.5796,28.6026
06-JAN,7,29.14222857142857,,29.8753,29.3834,27.7806,28.8636
07-JAN,7,29.33143660714286,,29.8144,29.6468,27.9705,28.8523
08-JAN,7,29.497519642857142,,29.4249,29.6988,28.0744,28.7042
09-JAN,7,29.549763392857145,,29.1329,29.6894,28.2022,28.6684
10-JAN,7,29.50150089285714,,28.9685,29.7152,28.1926,28.6121
11-JAN,7,29.393804166666666,,29.0762,29.5494,28.1178,28.6033
12-JAN,7,29.212774107142856,,29.2731,29.4946,27.9683,28.7485
13-JAN,7,28.85079136904762,,29.4152,29.6979,27.9,28.8382
14-JAN,8,28.564545170454547,,29.4857,29.8425,27.6941,28.7535
15-JAN,8,28.537588020833333,,29.4396,29.9401,27.668,28.9425
16-JAN,8,28.762155208333333,,29.3909,29.7742,27.7388,29.0759
17-JAN,8,28.745680989583335,,29.5383,29.2108,27.8153,29.351
18-JAN,8,28.75394635416667,,29.6955,28.7644,27.7562,29.3347
19-JAN,8,28.68564921875,,29.9833,28.3611,27.8689,29.8001
20-JAN,8,28.826753125,,30.1948,28.2311,27.7672,29.9613
21-JAN,8,28.890044270833332,,30.4271,28.1524,27.7365,29.9246
22-JAN,8,28.862788802083333,,30.4555,28.1279,27.7052,29.8746
23-JAN,8,28.897017708333333,,30.2816,28.1357,27.6371,29.9645
24-JAN,8,28.92096015625,,30.4153,27.963,27.731,30.1138
25-JAN,8,28.925136979166666,,30.2973,27.8018,27.7211,30.2035
26-JAN,8,28.888948958333334,,30.2295,27.7599,27.574,30.091
27-JAN,8,28.902501041666667,,30.2466,27.9293,27.3232,29.7554
28-JAN,8,28.962146614583332,,30.2757,28.0873,27.0429,29.4795
29-JAN,8,29.18431796875,,30.2253,28.3738,26.7688,29.2683
30-JAN,8,29.235708333333335,,30.0662,28.502,26.4764,28.8659
31-JAN,8,29.072072395833334,,29.7298,28.9074,26.6032,29.0089
01-FEB,8,28.895025520833332,,29.4472,29.1329,26.4092,28.9204
02-FEB,8,28.7929,,29.4407,29.3634,26.1576,28.8825
03-FEB,8,28.86322265625,,29.5131,29.5372,26.1661,29.1292
04-FEB,8,28.929456510416667,,29.4192,29.4445,25.9923,29.4395
05-FEB,8,28.82477942708333,,29.3855,28.8862,26.1224,29.7695
06-FEB,8,28.770154166666668,,29.4007,28.7815,26.2474,29.7934
07-FEB,8,28.769330729166665,,29.3677,28.1992,26.1767,29.9258
08-FEB,8,28.64564296875,,29.2673,27.9587,26.1193,30.1244
09-FEB,8,28.679142708333334,,29.2177,27.8594,26.4728,30.2003
10-FEB,8,28.73050703125,,29.1974,27.9531,26.7194,30.0163
11-FEB,8,28.792991145833334,,29.2508,28.0969,27.2521,30.1428
12-FEB,8,28.85750625,,29.3819,28.1574,27.2935,30.1737
13-FEB,8,28.87254244791667,,29.4876,28.4292,27.7644,30.5944
14-FEB,8,28.87992265625,,29.5295,28.7646,28.1894,30.3646
15-FEB,8,28.94980234375,,29.8387,29.0646,28.2825,30.5144
16-FEB,8,28.857729166666665,,29.6656,29.2567,28.5429,31.3344
17-FEB,8,28.7057078125,,29.6288,29.4678,28.3582,30.8089
18-FEB,8,28.5592859375,,29.6501,29.6368,28.5138,30.6404
19-FEB,8,28.511822135416665,,29.7863,29.8083,28.4404,30.8271
20-FEB,8,28.507743489583333,,30.1148,,28.5583,30.9419
21-FEB,8,28.588733333333334,,30.0338,,28.7365,31.0507
22-FEB,8,28.644794791666666,,30.0033,29.0778,30.3849
23-FEB,8,28.690221875,,29.9543,,29.1051,30.0221
24-FEB,8,28.7272109375,,29.9715,,28.988,29.7748
25-FEB,8,28.65693463541667,,29.9166,,28.9156,29.6567
26-FEB,8,28.639939583333334,,29.7821,,28.2691,29.4068
27-FEB,8,28.617501822916665,,29.6753,,28.1452,29.4561
28-FEB,8,28.713944270833334,,29.6601,,27.9216,29.6439
29-FEB,3,28.30611111111111,,,,,29.8375
01-MAR,8,28.684891666666665,,29.4835,,27.7311,29.66
02-MAR,8,28.63081328125,,29.4106,,27.5561,29.7925
03-MAR,8,28.515406770833334,,29.2789,,27.3697,29.9851
04-MAR,8,28.448620052083335,,29.2169,,27.3041,30.0612
05-MAR,8,28.357276041666665,,29.3081,,27.3798,30.116
06-MAR,8,28.378431770833334,,29.4165,,27.3621,30.0534
07-MAR,8,28.387660677083332,,29.5261,,27.4336,30.2712
08-MAR,8,28.406603385416666,,29.7718,,27.6642,30.1352
09-MAR,8,28.438983072916667,,29.6445,,27.7313,30.1315
10-MAR,8,28.4236546875,,29.3137,,27.7327,30.2953
11-MAR,8,28.40046171875,,29.262,,28.0224,29.8346
12-MAR,8,28.28424765625,,29.3049,,28.3401,29.2732
13-MAR,8,28.20266953125,,29.3484,,28.7155,28.6997
14-MAR,8,28.16661171875,,29.6213,,28.9603,28.4997
15-MAR,8,28.15748125,,29.7765,,28.9483,28.5234
16-MAR,8,28.06202265625,,30.0337,,29.1016,28.4975
17-MAR,8,27.998881770833332,,30.3568,,29.2165,28.2273
18-MAR,8,27.949542708333333,,30.6031,,28.8276,28.0857
19-MAR,8,27.887677864583335,,30.4265,,28.8591,27.7627
20-MAR,8,27.8527140625,,30.5996,,28.8846,27.4326
21-MAR,8,27.853922135416667,,30.742,,28.7361,27.2911
22-MAR,8,27.928433420365536,,30.7944,,28.5037,27.2182
23-MAR,8,27.983648691099475,,30.4455,,28.2712,27.1316
24-MAR,8,28.0384274151436,,30.1538,,28.2162,27.1558
25-MAR,8,28.195082291666665,,29.9916,27.4704,28.3997,27.0683
