DATE CREATED
2020-11-25T06:12:28+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
"Omega Interchangeable Thermistors - ON-950-440005, 3000 Ohm @ 25 deg C #MYR2"

UOM DEFINITIONS
Degrees Celsius

STATION,Myrmidon Reef
LATITUDE,-18.274247
STATION,147.381736

BLEACH THRESHOLDS
SUMMER-BEGINNING,TEMPERATURE,THRESHOLD-DAYS,ACTUAL-DAYS
2017-11-01T00:00:00,28.7,52.2,54
2017-11-01T00:00:00,28.8,44.2,49
2017-11-01T00:00:00,28.9,38.6,32
2017-11-01T00:00:00,29.0,32.0,25
2017-11-01T00:00:00,29.1,27.0,12
2017-11-01T00:00:00,29.2,25.8,6
2017-11-01T00:00:00,29.3,24.4,2
2017-11-01T00:00:00,29.4,18.4,0
2017-11-01T00:00:00,29.5,13.6,0
2017-11-01T00:00:00,29.6,8.8,0
2017-11-01T00:00:00,29.7,4.8,0
2017-11-01T00:00:00,29.8,4.0,0
2017-11-01T00:00:00,29.9,0.0,0
2017-11-01T00:00:00,30.0,0.0,0
2017-11-01T00:00:00,30.1,0.0,0
2017-11-01T00:00:00,30.2,0.0,0
2018-11-01T00:00:00,28.7,52.2,20
2018-11-01T00:00:00,28.8,44.2,15
2018-11-01T00:00:00,28.9,38.6,14
2018-11-01T00:00:00,29.0,32.0,10
2018-11-01T00:00:00,29.1,27.0,7
2018-11-01T00:00:00,29.2,25.8,3
2018-11-01T00:00:00,29.3,24.4,1
2018-11-01T00:00:00,29.4,18.4,0
2018-11-01T00:00:00,29.5,13.6,0
2018-11-01T00:00:00,29.6,8.8,0
2018-11-01T00:00:00,29.7,4.8,0
2018-11-01T00:00:00,29.8,4.0,0
2018-11-01T00:00:00,29.9,0.0,0
2018-11-01T00:00:00,30.0,0.0,0
2018-11-01T00:00:00,30.1,0.0,0
2018-11-01T00:00:00,30.2,0.0,0
2019-11-01T00:00:00,28.7,52.2,60
2019-11-01T00:00:00,28.8,44.2,58
2019-11-01T00:00:00,28.9,38.6,57
2019-11-01T00:00:00,29.0,32.0,46
2019-11-01T00:00:00,29.1,27.0,40
2019-11-01T00:00:00,29.2,25.8,34
2019-11-01T00:00:00,29.3,24.4,29
2019-11-01T00:00:00,29.4,18.4,27
2019-11-01T00:00:00,29.5,13.6,25
2019-11-01T00:00:00,29.6,8.8,21
2019-11-01T00:00:00,29.7,4.8,16
2019-11-01T00:00:00,29.8,4.0,15
2019-11-01T00:00:00,29.9,0.0,10
2019-11-01T00:00:00,30.0,0.0,6
2019-11-01T00:00:00,30.1,0.0,4
2019-11-01T00:00:00,30.2,0.0,1
