DATE CREATED
2020-11-25T06:12:32+10:00

ATTRIBUTION
http://www.aims.gov.au/docs/cc-attribution.html

DISCLAIMER
http://www.aims.gov.au/docs/disclaimer.html

PRIVACY
http://www.aims.gov.au/docs/privacy-policy.html

COPYRIGHT
http://www.aims.gov.au/docs/cc-copyright.html

COMMENT
"These data are provided by this web service under a Creative Commons License.  Please read the copyright statement and attribute AIMS according to the attribution information above.  All or some data delivered by this service may be provided by a third party and should also be attributed.  The ownership of data will be associated with the deployment information in the data.  If no ownership is supplied, AIMS is the implied owner. "

SENSOR DEFINITIONS
"Omega Interchangeable Thermistors - ON-950-440005, 3000 Ohm @ 25 deg C #MYR2"

UOM DEFINITIONS
Degrees Celsius

STATION
Myrmidon Reef
LATITUDE
-18.274247
LONGITUDE
147.381736

Long term averages
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL1_summer_17_18,wtemp_LEVEL1_summer_18_19,wtemp_LEVEL1_summer_19_20
01-NOV,18,26.458876744186046,26.3441,26.8515,25.6239
02-NOV,19,26.512037569060773,26.2631,26.7572,25.6621
03-NOV,19,26.52112319644839,26.5914,26.6189,25.7635
04-NOV,19,26.608824053452114,26.8842,26.8887,25.8299
05-NOV,19,26.722416851441242,26.8595,26.9642,25.8281
06-NOV,19,26.78620907079646,27.2493,26.9897,25.9433
07-NOV,19,26.823208839779006,27.4149,27.0273,26.0538
08-NOV,19,26.89023154362416,27.4595,27.2243,26.2347
09-NOV,19,26.942935982339957,27.1883,27.2463,26.2964
10-NOV,19,27.0113300330033,27.1749,27.1858,26.2036
11-NOV,19,26.99795571095571,26.8918,26.9203,26.2615
12-NOV,19,27.039824137931035,26.6759,27.0656,26.1133
13-NOV,19,27.033528143712577,26.6577,27.0728,26.3553
14-NOV,19,27.14436883408072,26.5615,27.1181,26.4855
15-NOV,19,27.196419932810752,26.4499,27.1198,26.4689
16-NOV,19,27.213392699115044,26.4117,27.0688,26.629
17-NOV,19,27.17610428100988,26.4553,27.2935,26.8496
18-NOV,19,27.19916391639164,26.5063,27.1465,26.8593
19-NOV,19,27.298440315315315,26.5448,27.1732,26.7333
20-NOV,19,27.30619129438717,26.7735,27.3025,26.8788
21-NOV,19,27.297976457399102,26.6517,27.4687,26.8476
22-NOV,19,27.311877412031784,26.7057,27.5637,26.789
23-NOV,19,27.3715117581187,26.8508,27.6841,26.7699
24-NOV,19,27.339578285714285,26.9367,27.8494,26.8208
25-NOV,19,27.34635866983373,26.9715,27.7305,26.9156
26-NOV,19,27.360251126126126,27.1233,27.5786,27.0656
27-NOV,19,27.430101237345333,27.1417,26.8086,27.0169
28-NOV,19,27.400669005847952,27.2103,28.0123,27.0028
29-NOV,19,27.46059153318078,27.4198,27.3037,26.9263
30-NOV,18,27.48016522811344,27.4522,27.6509,26.901
01-DEC,18,27.554682680151707,27.796,28.219,27.0782
02-DEC,18,27.640325153374235,27.9026,28.6934,27.2388
03-DEC,18,27.662764705882353,28.1191,28.6077,27.3906
04-DEC,18,27.751781927710844,28.3596,28.4969,27.6953
05-DEC,18,27.764930402930403,28.0449,28.3835,27.8126
06-DEC,18,27.837569343065695,28.2194,27.4878,27.8011
07-DEC,18,27.855773881499395,28.2367,27.8924,27.509
08-DEC,18,27.898654632972324,28.3859,28.1763,27.2217
09-DEC,19,28.024519906323185,28.259,28.2144,27.0163
10-DEC,19,28.047173099415204,28.189,28.1462,26.9379
