
SUMMER-BEGINNING,TEMPERATURE,THRESHOLD-DAYS,ACTUAL-DAYS
2017-11-01T00:00:00,27.5,42.0,10
2017-11-01T00:00:00,27.6,39.0,8
2017-11-01T00:00:00,27.7,34.0,3
2017-11-01T00:00:00,27.8,28.0,1
2017-11-01T00:00:00,27.9,23.0,0
2017-11-01T00:00:00,28.0,22.0,0
2017-11-01T00:00:00,28.1,16.0,0
2017-11-01T00:00:00,28.2,14.0,0
2017-11-01T00:00:00,28.3,11.0,0
2017-11-01T00:00:00,28.4,6.0,0
2017-11-01T00:00:00,28.5,4.0,0
2017-11-01T00:00:00,28.6,3.0,0
2017-11-01T00:00:00,28.7,2.0,0
2017-11-01T00:00:00,28.8,2.0,0
2017-11-01T00:00:00,28.9,2.0,0
2017-11-01T00:00:00,29.0,2.0,0
2017-11-01T00:00:00,29.1,0.0,0
2018-11-01T00:00:00,27.5,42.0,13
2018-11-01T00:00:00,27.6,39.0,10
2018-11-01T00:00:00,27.7,34.0,7
2018-11-01T00:00:00,27.8,28.0,7
2018-11-01T00:00:00,27.9,23.0,6
2018-11-01T00:00:00,28.0,22.0,4
2018-11-01T00:00:00,28.1,16.0,3
2018-11-01T00:00:00,28.2,14.0,3
2018-11-01T00:00:00,28.3,11.0,2
2018-11-01T00:00:00,28.4,6.0,2
2018-11-01T00:00:00,28.5,4.0,2
2018-11-01T00:00:00,28.6,3.0,1
2018-11-01T00:00:00,28.7,2.0,1
2018-11-01T00:00:00,28.8,2.0,1
2018-11-01T00:00:00,28.9,2.0,1
2018-11-01T00:00:00,29.0,2.0,1
2018-11-01T00:00:00,29.1,0.0,0
2019-11-01T00:00:00,27.5,42.0,37
2019-11-01T00:00:00,27.6,39.0,34
2019-11-01T00:00:00,27.7,34.0,31
2019-11-01T00:00:00,27.8,28.0,29
2019-11-01T00:00:00,27.9,23.0,28
2019-11-01T00:00:00,28.0,22.0,24
2019-11-01T00:00:00,28.1,16.0,23
2019-11-01T00:00:00,28.2,14.0,20
2019-11-01T00:00:00,28.3,11.0,18
2019-11-01T00:00:00,28.4,6.0,16
2019-11-01T00:00:00,28.5,4.0,14
2019-11-01T00:00:00,28.6,3.0,12
2019-11-01T00:00:00,28.7,2.0,11
2019-11-01T00:00:00,28.8,2.0,9
2019-11-01T00:00:00,28.9,2.0,9
2019-11-01T00:00:00,29.0,2.0,7
2019-11-01T00:00:00,29.1,0.0,7
