
SUMMER-BEGINNING,TEMPERATURE,THRESHOLD-DAYS,ACTUAL-DAYS
2017-11-01T00:00:00,29.7,17.0,0
2017-11-01T00:00:00,29.8,13.0,0
2017-11-01T00:00:00,29.9,10.0,0
2017-11-01T00:00:00,30.0,7.0,0
2017-11-01T00:00:00,30.1,6.0,0
2017-11-01T00:00:00,30.2,4.0,0
2017-11-01T00:00:00,30.3,2.0,0
2017-11-01T00:00:00,30.4,0.0,0
2018-11-01T00:00:00,29.7,17.0,5
2018-11-01T00:00:00,29.8,13.0,4
2018-11-01T00:00:00,29.9,10.0,3
2018-11-01T00:00:00,30.0,7.0,3
2018-11-01T00:00:00,30.1,6.0,3
2018-11-01T00:00:00,30.2,4.0,1
2018-11-01T00:00:00,30.3,2.0,1
2018-11-01T00:00:00,30.4,0.0,1
2019-11-01T00:00:00,29.7,17.0,26
2019-11-01T00:00:00,29.8,13.0,23
2019-11-01T00:00:00,29.9,10.0,17
2019-11-01T00:00:00,30.0,7.0,13
2019-11-01T00:00:00,30.1,6.0,10
2019-11-01T00:00:00,30.2,4.0,8
2019-11-01T00:00:00,30.3,2.0,6
2019-11-01T00:00:00,30.4,0.0,4
