
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL1_summer_17_18,wtemp_LEVEL1_summer_18_19,wtemp_LEVEL1_summer_19_20
01-NOV,9,23.438139351851852,25.7855,24.3825,23.4966
02-NOV,9,23.455097916666666,25.711,24.1399,23.8047
03-NOV,9,23.48839071925754,25.561,24.1951,24.2409
04-NOV,9,23.509124768518518,25.4303,24.2066,24.5695
05-NOV,9,23.648877314814815,25.1736,24.2078,24.7534
06-NOV,9,23.753680324074075,25.0115,24.4202,23.759
07-NOV,9,23.84560601851852,25.1382,24.6366,24.1714
08-NOV,9,23.94040162037037,24.9585,24.5385,24.0573
09-NOV,9,23.987225,23.9401,23.4929,24.292
10-NOV,9,23.980342824074075,23.8285,23.4991,23.4952
11-NOV,9,23.98980138888889,23.8343,23.7601,23.8344
12-NOV,9,24.02043611111111,23.9534,23.866,24.0324
13-NOV,9,24.014929002320187,23.7638,24.0371,23.9227
14-NOV,9,24.09826087962963,23.8554,24.4722,23.9644
15-NOV,9,24.180384027777777,23.9214,25.2136,24.4839
16-NOV,9,24.264474305555556,24.1827,25.5335,24.6516
17-NOV,9,24.28926851851852,24.3029,25.6429,24.7408
18-NOV,9,24.26962505800464,24.2189,25.6421,25.3826
19-NOV,9,24.369765277777777,23.9358,25.2376,26.0437
20-NOV,9,24.35788287037037,23.6365,24.9004,26.2953
21-NOV,9,24.412167824074075,23.5062,24.9055,25.5413
22-NOV,9,24.454522222222224,23.0378,24.8524,25.0843
23-NOV,9,24.470923379629628,23.8254,25.3083,24.8856
24-NOV,10,24.49112799145299,24.329,25.2161,24.8848
25-NOV,10,24.554816666666667,24.7933,24.8569,24.624
26-NOV,10,24.531832708333333,24.978,25.0896,24.782
27-NOV,10,24.539679166666666,25.2809,25.8458,24.9902
28-NOV,10,24.621061041666668,24.8733,25.7409,25.1906
29-NOV,10,24.663508958333335,25.3852,25.6783,25.2793
30-NOV,10,24.742679166666665,25.4058,26.0964,25.4857
01-DEC,10,24.821931524008352,25.4631,26.3415,25.4625
02-DEC,10,24.82818375,25.5335,26.2177,25.6265
03-DEC,10,24.885355,25.5431,25.9823,26.4391
04-DEC,10,24.935606875,25.075,26.5486,26.5623
05-DEC,10,24.98610772442589,24.6985,25.698,26.4373
06-DEC,10,25.117455857740588,25.3807,24.9849,26.172
07-DEC,10,25.20688625,25.9407,24.9536,26.1596
08-DEC,10,25.225467857142856,26.1977,24.687,26.4152
09-DEC,9,25.291365509259258,26.0802,24.8788,26.7834
10-DEC,9,25.34074245939675,26.1994,25.0148,26.695
11-DEC,9,25.38054861111111,25.8438,25.2194,26.4912
12-DEC,9,25.401520138888888,25.516,25.5306,26.3716
13-DEC,9,25.40163611111111,25.4826,25.9866,26.2777
14-DEC,9,25.40708912037037,25.758,26.0754,26.3951
15-DEC,9,25.489899305555557,26.1376,26.3497,26.3507
16-DEC,9,25.51751388888889,26.1843,25.716,26.4135
17-DEC,9,25.666037704918033,26.0155,25.4911,26.4285
18-DEC,9,25.78162993039443,25.9966,25.6952,25.6483
19-DEC,9,25.865346064814815,26.1892,26.473,25.604
20-DEC,9,25.975858564814814,26.3538,26.672,25.7432
21-DEC,9,25.979191203703703,26.4869,27.0305,25.9331
22-DEC,9,25.96755601851852,26.5436,27.0619,26.5928
23-DEC,9,25.96919375,26.6452,26.1333,26.6939
24-DEC,9,26.096747916666665,26.8741,25.1245,26.8003
25-DEC,9,26.069425462962965,27.0701,25.0674,26.7109
26-DEC,9,25.979168981481482,27.2758,25.1565,26.2474
27-DEC,9,26.024221113689094,27.6224,25.1589,25.4069
28-DEC,9,26.051714814814815,27.6332,25.469,25.7074
29-DEC,9,26.055610185185184,27.6143,25.9313,25.359
30-DEC,9,26.053269907407408,27.4012,26.5484,25.5388
31-DEC,9,26.119127777777777,27.0026,26.0323,25.7941
01-JAN,9,26.086854398148148,26.8591,26.5119,26.4222
02-JAN,9,26.10196388888889,26.8395,26.4418,27.1652
03-JAN,9,26.17074722222222,27.2163,26.6017,27.2357
04-JAN,9,26.17224675925926,27.6183,26.6265,26.9767
05-JAN,9,26.21603634259259,27.3062,26.5386,27.0516
06-JAN,9,26.22138449074074,26.9474,26.4862,26.6451
07-JAN,9,26.38762662037037,26.5573,25.7494,26.9111
08-JAN,9,26.43039513888889,26.9529,25.3519,27.0462
09-JAN,9,26.425446064814814,27.1164,26.009,27.0941
10-JAN,9,26.42415162037037,27.4602,26.2787,26.9797
11-JAN,9,26.32289814814815,27.4821,26.2367,27.0635
12-JAN,9,26.285461574074073,27.5645,26.1058,26.9962
13-JAN,9,26.319114814814814,27.676,26.0613,26.8395
14-JAN,9,26.33565939675174,27.2754,26.2455,26.7246
15-JAN,9,26.365347453703702,26.9887,26.7474,27.1736
16-JAN,9,26.383901851851853,26.292,27.0313,27.3898
17-JAN,9,26.454474305555557,25.8899,26.8713,27.5181
18-JAN,9,26.379580324074073,25.9073,26.679,27.5823
19-JAN,9,26.367556018518517,26.2849,26.7168,27.8561
20-JAN,9,26.363194675925925,26.5619,26.7259,27.9167
21-JAN,9,26.347626388888887,26.4904,26.6132,27.769
22-JAN,9,26.423550694444444,26.5925,26.5714,27.6122
23-JAN,9,26.53887800925926,27.0266,26.7378,27.5069
24-JAN,9,26.505763194444445,27.1978,26.9848,27.1914
25-JAN,9,26.44498101851852,27.5623,27.0201,27.0846
26-JAN,9,26.538693518518517,27.7806,27.0967,27.1076
27-JAN,9,26.66604212962963,27.3963,27.0198,27.0776
28-JAN,9,26.775296990740742,27.3514,27.0675,27.068
29-JAN,9,26.898842824074073,27.4129,27.175,27.3802
30-JAN,9,26.986444444444444,27.3146,27.1071,27.6838
31-JAN,9,26.997568055555554,27.7697,27.2702,27.6807
01-FEB,9,27.051322222222222,27.8809,27.3722,27.7862
02-FEB,9,27.095724305555557,27.0641,26.8512,28.0926
03-FEB,9,27.082663425925926,25.9576,26.3478,28.6188
04-FEB,9,27.07626134259259,25.8525,26.4525,28.9987
05-FEB,9,27.06381712962963,26.1883,26.3896,28.3619
06-FEB,9,27.096676851851853,26.2838,26.552,28.465
07-FEB,9,27.079930787037036,26.2128,26.268,28.4148
08-FEB,9,27.08610138888889,,26.2475,28.2747
09-FEB,9,27.15481712962963,,26.883,28.1965
10-FEB,9,27.11261550925926,,27.4862,28.2479
11-FEB,9,27.041886342592594,,27.961,27.967
12-FEB,9,27.068033333333332,,28.2747,27.9059
13-FEB,9,27.08306412037037,,28.5633,28.1307
14-FEB,9,27.03481574074074,,29.0314,28.7302
15-FEB,9,26.943361111111113,,27.3385,29.2417
16-FEB,9,26.93148287037037,,27.0068,29.834
17-FEB,9,26.927857638888888,,26.7504,30.0405
18-FEB,9,26.899705787037036,,26.7746,29.8865
19-FEB,9,26.853142592592594,,27.2158,29.4644
20-FEB,9,26.722308564814814,,27.5069,29.4291
21-FEB,9,26.779651044083526,,27.4878,29.3841
22-FEB,9,26.931798842592592,,27.0679,28.3897
23-FEB,9,26.963318981481482,,26.6643,26.742
24-FEB,9,27.01153287037037,,26.554,27.1084
25-FEB,9,26.94511111111111,,26.1943,28.1326
26-FEB,9,26.83298171296296,,26.1755,28.5099
27-FEB,9,26.89794074074074,,26.1473,28.7517
28-FEB,9,26.956104166666666,,25.9908,28.918
29-FEB,3,26.27799513888889,,,28.5461
01-MAR,9,26.893306712962964,,25.7343,27.9466
02-MAR,9,26.81852615740741,,25.6346,
03-MAR,9,26.742110185185187,,25.5215,
04-MAR,9,26.639937037037036,,25.8983,
05-MAR,9,26.62209027777778,,26.1605,
06-MAR,9,26.78784837962963,,26.334,
07-MAR,9,26.77059675925926,,26.7324,
08-MAR,9,26.638467824074073,,26.6317,
09-MAR,9,26.541170833333332,,26.5074,
10-MAR,9,26.509530324074074,,26.6456,
11-MAR,9,26.38555138888889,,26.9462,
12-MAR,9,26.323739351851852,,27.0956,
13-MAR,9,26.29208402777778,,27.2857,
14-MAR,9,26.36137800925926,,27.8706,
15-MAR,9,26.286376851851852,26.2256,28.0631,
16-MAR,9,26.253259490740742,26.3867,27.9203,
17-MAR,9,26.286288657407407,26.5104,27.6462,
18-MAR,9,26.410998842592594,26.7868,27.6008,
19-MAR,9,26.438424361948957,27.2562,27.6384,
20-MAR,9,26.310941435185185,27.2234,27.5072,
21-MAR,9,26.400566435185183,26.4938,27.3667,
22-MAR,9,26.466419212962965,26.0288,27.2096,
23-MAR,9,26.400982638888888,26.0463,27.0116,
24-MAR,9,26.37246111111111,26.0608,27.1198,
25-MAR,9,26.294903703703703,26.4226,27.136,
26-MAR,9,26.238305092592594,26.8065,27.3421,
27-MAR,9,26.189361342592594,26.8119,27.5959,
28-MAR,9,26.260072453703703,26.3753,26.6103,
29-MAR,9,26.19349837962963,26.046,27.0761,
30-MAR,9,26.114076157407407,26.2153,27.0953,
31-MAR,9,26.04503287037037,26.3885,26.7278,
