
DATE,TOTAL_YEARS,LONG_TERM_AVERAGE,wtemp_LEVEL1_summer_17_18,wtemp_LEVEL1_summer_18_19,wtemp_LEVEL1_summer_19_20
01-NOV,10,26.60154,27.8838,26.4814,25.529
02-NOV,10,26.653808541666667,27.5735,26.4147,25.6167
03-NOV,10,26.74344801670146,27.4491,26.4306,25.5916
04-NOV,10,26.780949583333335,27.2011,26.6156,25.6777
05-NOV,10,26.837421458333335,26.9966,26.8284,25.6697
06-NOV,10,26.901214583333335,26.8993,26.953,25.6417
07-NOV,10,26.968101666666666,27.0347,27.0665,25.6415
08-NOV,10,27.063591875,27.2979,27.3101,25.7332
09-NOV,10,27.12679018789144,27.1987,27.2655,26.2854
10-NOV,10,27.13945125,26.8716,27.1292,26.6482
11-NOV,10,27.150899375,26.5971,27.0765,26.2392
12-NOV,10,27.09481586638831,26.5293,26.9913,26.0373
13-NOV,10,27.062535208333333,26.5263,26.8707,26.0548
14-NOV,10,27.04685875,26.5359,26.8598,26.3084
15-NOV,10,27.116087916666668,26.6419,26.9032,26.2456
16-NOV,10,27.209736875,26.6739,26.856,26.3448
17-NOV,10,27.284284166666666,26.6937,26.8506,26.35
18-NOV,10,27.302128541666665,26.7277,26.844,26.5661
19-NOV,10,27.32588329853862,26.825,26.9166,26.5709
20-NOV,10,27.357574947807933,26.911,26.9299,26.6927
21-NOV,10,27.455659791666665,27.0114,27.1253,26.741
22-NOV,10,27.574573068893528,26.8745,27.8431,26.6559
23-NOV,10,27.65637875,27.0742,27.8964,26.5743
24-NOV,10,27.61248979166667,27.2917,28.0603,26.7066
25-NOV,10,27.652639583333332,27.3414,28.1078,26.936
26-NOV,10,27.642413958333332,27.343,28.2197,27.1175
27-NOV,10,27.63432693110647,27.324,28.2919,27.1002
28-NOV,10,27.61360668058455,27.4864,28.4485,27.0136
29-NOV,10,27.552777338877338,27.5756,28.2098,26.9557
30-NOV,10,27.599407306889354,27.7106,28.3503,27.1047
01-DEC,10,27.682685386221294,28.0186,28.7411,27.3023
02-DEC,10,27.73914560669456,28.2042,29.3265,27.7725
03-DEC,10,27.732226458333333,28.6529,29.0328,28.2267
04-DEC,10,27.782908958333334,28.3572,28.878,28.6803
05-DEC,10,27.81304875,28.5718,28.8337,28.4864
06-DEC,11,27.95118780487805,28.9152,28.6069,28.5327
07-DEC,11,28.03440416666667,29.038,28.1378,28.4969
08-DEC,11,28.087151136363637,29.067,27.8838,28.2947
09-DEC,11,28.12264724857685,28.8409,27.6582,27.9834
10-DEC,11,28.14190018939394,28.393,28.0193,27.6263
11-DEC,11,28.190598674242423,28.0317,28.3357,27.5474
12-DEC,11,28.290991461100568,28.0609,28.7559,27.7284
13-DEC,11,28.275247817836814,28.0503,29.3471,27.8922
14-DEC,11,28.287301904761904,28.0565,28.8501,28.2315
15-DEC,11,28.313078977272728,28.0806,28.5132,28.3182
16-DEC,11,28.280369070208728,28.1822,28.5585,28.4619
17-DEC,11,28.252231878557875,28.2112,28.9998,28.6166
18-DEC,11,28.247955303030302,28.158,29.3619,28.3451
19-DEC,11,28.36367760910816,28.2174,29.8757,28.0861
20-DEC,11,28.447152462121213,28.3324,30.1182,27.9032
21-DEC,11,28.420772916666667,28.2715,30.4124,27.9356
22-DEC,11,28.425442015209125,28.1849,30.1126,28.0167
23-DEC,11,28.450635984848486,28.1001,29.5574,28.0306
24-DEC,11,28.458188446969697,28.0796,29.3248,28.0835
25-DEC,11,28.43130588235294,28.0887,28.398,28.2667
26-DEC,11,28.56265475285171,28.1405,28.3574,28.2257
